,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,omboue,78.17,92,100,3.42,-1.5746,9.2618
1,roald,44.76,81,2,17.27,62.5833,6.1333
2,bredasdorp,59.7,83,84,4.81,-34.5322,20.0403
3,chuy,59.63,85,10,5.01,-33.6971,-53.4616
4,mataura,51.48,85,99,8.68,-46.1927,168.8643
5,albany,52.92,56,75,9.37,42.6001,-73.9662
6,jamestown,54.72,44,0,12.66,42.097,-79.2353
7,ahipara,68.83,77,30,20.07,-35.1667,173.1667
8,kawana waters,,,,,,
9,hermanus,55.8,89,97,6.44,-34.4187,19.2345
10,marv dasht,,,,,,
11,sayyan,57.43,33,100,0.45,15.1718,44.3244
12,busselton,62.49,55,0,15.5,-33.65,115.3333
13,rikitea,71.56,83,100,8.08,-23.1203,-134.9692
14,mar del plata,60.87,57,0,8.05,-38.0023,-57.5575
15,bonavista,32,81,15,8.03,48.6499,-53.1147
16,butaritari,81.36,78,98,14.18,3.0707,172.7902
17,iqaluit,8.33,72,75,6.91,63.7506,-68.5145
18,beringovskiy,29.05,84,100,7.29,63.05,179.3167
19,qaanaaq,-5.64,72,88,7.92,77.484,-69.3632
20,kavieng,85.86,68,83,13.51,-2.5744,150.7967
21,bluff,51.8,63,100,22.19,-46.6,168.3333
22,amderma,,,,,,
23,uspenskaya,44.33,88,12,10.94,45.7645,41.067
24,nisia floresta,79.18,87,94,6.06,-6.0911,-35.2086
25,san vicente,60.35,99,99,3.51,-26.6167,-54.1333
26,port augusta,66.97,45,0,8.41,-32.5,137.7667
27,ushuaia,40.66,81,75,13.8,-54.8,-68.3
28,itapua poty,,,,,,
29,hasaki,68.4,78,84,6.62,35.7333,140.8333
30,nizhneyansk,,,,,,
31,tuktoyaktuk,5,85,20,8.05,69.4541,-133.0374
32,yellowknife,34.32,40,20,11.5,62.456,-114.3525
33,ancud,49.23,85,100,4.63,-41.8697,-73.8203
34,puerto ayora,72.95,91,28,7.47,-0.7393,-90.3518
35,axim,78.57,87,100,8.84,4.8699,-2.2405
36,punta arenas,42.91,75,75,5.75,-53.15,-70.9167
37,cidreira,68.04,83,100,6.4,-30.1811,-50.2056
38,kapaa,74.61,90,100,20.71,22.0752,-159.319
39,port alfred,63.18,96,54,4,-33.5906,26.891
40,hit,66.31,23,0,9.78,33.6416,42.8251
41,new norfolk,55.99,45,100,2.73,-42.7826,147.0587
42,tsihombe,,,,,,
43,zalantun,49.19,22,100,10.47,48,122.7167
44,atuona,79.41,79,9,13.89,-9.8,-139.0333
45,kruisfontein,58.89,90,95,8.1,-34.0033,24.7314
46,airai,70.11,62,95,4.56,-8.9266,125.4092
47,lerwick,46.4,86,100,20.94,60.1545,-1.1494
48,nikolskoye,37.36,92,12,2.82,59.7035,30.7861
49,atherton,45.39,78,74,5.01,53.5237,-2.4935
50,rumoi,59.38,56,82,9.42,43.9344,141.6428
51,new philadelphia,62.46,59,20,4.61,40.4898,-81.4457
52,sampit,80.44,83,100,1.39,-2.5333,112.95
53,paita,69.85,77,80,15.5,-5.0892,-81.1144
54,arrifes,53.85,67,20,8.05,37.7667,-25.7
55,hamilton,59.09,84,0,4.61,39.1834,-84.5333
56,fortuna,56.41,70,75,8.05,40.5982,-124.1573
57,bethel,50.22,69,100,3,41.3712,-73.414
58,provideniya,35.71,75,0,13.42,64.3833,-173.3
59,cape town,61.14,88,75,8.05,-33.9258,18.4232
60,swiecie,46.83,89,98,4,53.4095,18.4474
61,castro,58.68,92,23,2.46,-24.7911,-50.0119
62,ostrovnoy,34.39,99,100,2.93,68.0531,39.5131
63,kondinskoye,10.71,94,54,8.19,59.6481,67.41
64,luderitz,60.4,85,34,10.65,-26.6481,15.1594
65,vaini,84.36,74,20,4.61,-21.2,-175.2
66,hilo,76.42,73,75,13.8,19.7297,-155.09
67,hobart,56.75,57,75,10.36,-42.8794,147.3294
68,hammerfest,37.85,100,100,4.61,70.6634,23.6821
69,ponta do sol,59.18,66,47,12.41,32.6667,-17.1
70,buritizeiro,68.81,50,5,0.96,-17.3511,-44.9622
71,tiksi,17.51,91,99,5.82,71.6872,128.8694
72,leshukonskoye,28.22,89,100,3.8,64.8989,45.7622
73,broome,50.2,81,100,11.5,42.2506,-75.833
74,banda aceh,81.36,77,100,3.56,5.5577,95.3222
75,katakwi,63.86,95,100,3.8,1.8911,33.9661
76,severo-kurilsk,36.25,98,90,6.04,50.6789,156.125
77,carnarvon,71.67,53,61,8.05,-24.8667,113.6333
78,genhe,41.83,27,35,8.14,50.7833,121.5167
79,liuli,73.69,82,94,5.01,-11.0833,34.6333
80,mys shmidta,,,,,,
81,mahibadhoo,83.64,75,69,9.89,3.7833,72.9667
82,high prairie,45.16,60,100,1.72,55.4334,-116.4858
83,manavalakurichi,80.1,83,51,1.95,8.1333,77.3
84,paramirim,73.51,69,72,3.15,-13.4425,-42.2389
85,saleaula,,,,,,
86,bambanglipuro,79.3,81,97,3.51,-7.95,110.2833
87,katsuura,68.5,84,43,13.8,35.1333,140.3
88,tuatapere,50.92,69,74,13.44,-46.1333,167.6833
89,saldanha,60.85,91,56,14.18,-33.0117,17.9442
90,kununurra,85.98,26,6,14.97,-15.7667,128.7333
91,dungarpur,80.92,28,0,3.98,23.8333,73.7167
92,dikson,2.07,96,98,12.73,73.5069,80.5464
93,kaitangata,50.81,71,76,12.95,-46.2817,169.8464
94,loreto,77.99,19,46,5.3,22.2667,-101.9667
95,songjianghe,37.38,95,100,11.01,42.1859,127.479
96,colon,82.11,74,15,5.01,9.3592,-79.9014
97,los llanos de aridane,59.13,85,100,5.01,28.6585,-17.9182
98,tupelo,77.27,53,0,6.91,34.2576,-88.7034
