,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pevek,92,RU,1650845297,91,69.7008,170.3133,12.22,1.99
1,mataura,91,NZ,1650845228,81,-46.1927,168.8643,52.48,10.33
2,klaksvik,100,FO,1650845296,82,62.2266,-6.589,40.12,15.99
3,faanui,34,PF,1650845297,71,-16.4833,-151.75,81.39,6.6
4,atuona,13,PF,1650845239,73,-9.8,-139.0333,79.38,18.01
5,kodiak,20,US,1650845261,54,57.79,-152.4072,53.11,11.5
6,punta arenas,96,PH,1650845298,73,8.9897,125.34,82.42,3.42
7,ushuaia,61,AR,1650845298,85,-54.8,-68.3,36.21,2.42
8,dikson,96,RU,1650845299,94,73.5069,80.5464,7.52,14.81
9,new norfolk,93,LR,1650845299,94,6.6518,-10.5932,74.14,2.01
10,yellowknife,13,CA,1650845295,51,62.456,-114.3525,37.56,13.0
11,hasaki,45,JP,1650845299,77,35.7333,140.8333,68.29,3.33
12,turukhansk,100,RU,1650845300,94,65.8167,87.9833,10.31,4.63
13,halifax,59,CA,1650845166,85,44.6453,-63.5724,37.69,11.99
14,karratha,44,AU,1650845301,45,-20.7377,116.8463,80.24,3.85
15,vaini,75,TO,1650845302,78,-21.2,-175.2,80.76,8.05
16,ponta do sol,8,PT,1650845302,74,38.7333,-28.2667,53.67,16.55
17,rikitea,100,PF,1650845225,89,-23.1203,-134.9692,72.97,16.73
18,yar-sale,32,RU,1650845302,99,66.8333,70.8333,-0.11,4.07
19,coxim,59,BR,1650845303,60,-18.5067,-54.76,81.54,4.34
20,ribeira grande,20,ES,1650845303,91,42.7461,-8.4439,53.53,3.44
21,kapaa,100,US,1650845303,75,22.0752,-159.319,82.38,14.97
22,jamestown,0,US,1650845103,33,42.097,-79.2353,76.64,5.75
23,salinas,3,US,1650844757,64,36.6777,-121.6555,80.56,6.93
24,mys shmidta,96,RU,1650845304,97,62.0589,48.6201,31.66,3.27
25,albany,56,US,1650845132,42,42.6001,-73.9662,63.25,9.55
26,ballinrobe,17,IE,1650845304,88,53.6333,-9.2333,42.24,7.7
27,liloy,76,PH,1650845305,79,8.1144,122.6594,81.3,4.56
28,codrington,91,AU,1650845305,60,-38.2667,141.9667,60.6,6.08
29,zhangzhou,34,CN,1650845305,78,24.5133,117.6556,78.84,0.85
30,saint-philippe,97,RE,1650845306,79,-21.3585,55.7679,74.79,13.09
31,tuy hoa,67,PH,1650845306,60,14.0183,120.7296,86.0,9.26
32,iqaluit,100,CA,1650845306,73,63.7506,-68.5145,22.69,15.01
33,castro,0,BR,1650845307,93,-24.7911,-50.0119,60.89,5.66
34,hilo,100,US,1650845192,74,19.7297,-155.09,82.27,9.22
35,bonavista,100,CA,1650845265,93,48.6499,-53.1147,36.03,20.92
36,bentiu,74,SS,1650845307,57,9.2333,29.8333,83.52,10.83
37,mahebourg,86,MU,1650845292,70,-20.4081,57.7,74.25,14.7
38,port elizabeth,98,CD,1650845308,94,-7.0349,29.7638,70.79,5.06
39,tomari,48,RU,1650845308,70,47.7658,142.0683,39.83,12.75
40,atar,1,MR,1650845309,30,20.5169,-13.0499,78.08,7.85
41,puerto ayora,0,ES,1650845118,90,36.5939,-6.233,57.34,3.44
42,tiksi,98,RU,1650845309,96,71.6872,128.8694,4.12,2.42
43,ilulissat,100,GL,1650845291,93,69.2167,-51.1,26.62,0.0
44,jacareacanga,35,BR,1650845309,92,-6.2222,-57.7528,75.49,2.86
45,pacific grove,100,US,1650845037,78,38.482,-90.7415,65.32,1.99
46,qaanaaq,82,GL,1650845259,69,77.484,-69.3632,2.07,6.06
47,yakeshi,100,CN,1650845310,36,49.2833,120.7333,40.28,8.32
48,kavieng,100,PG,1650845310,70,-2.5744,150.7967,84.2,7.43
49,tuktoyaktuk,100,CA,1650845311,88,69.4541,-133.0374,31.21,3.98
50,georgetown,20,MY,1650845133,89,5.4112,100.3354,80.53,0.0
51,busselton,99,AU,1650845311,52,-33.65,115.3333,67.12,11.63
52,kyzyl-suu,79,KG,1650845311,65,42.3414,78.0056,47.68,4.36
53,marang,80,MY,1650845312,85,5.2056,103.2059,78.98,3.11
54,casper,100,US,1650845312,54,42.8666,-106.3131,42.73,6.91
55,araouane,0,ML,1650845312,20,18.9048,-3.5265,78.04,8.72
